Ruta,OperadOR,route,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,year,decade
England,Deutsche Lufthansa,Croyden - Amsterdam - Berlin,Junkers,8,4,4,7,3,4,0,1929,3
France,Air Union,Marseille - Ajaccio - Tunis,Others,3,0,3,3,0,3,0,1929,3
Others,Others,"Cagliari, Terranova - Rome",Others,12,9,3,1,1,0,0,1929,3
EEUU,Varney Air Lines,Sin_Dato,Others,1,0,1,1,0,1,0,1929,3
EEUU,National Air Transport,Sin_Dato,Douglas,1,0,1,1,0,1,0,1929,3
Germany,Deutsche Lufthansa,Marseille - Berlin,Others,3,0,2,2,0,2,0,1929,3
Mexico,Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,8,5,3,8,5,3,0,1929,3
EEUU,Others,Bremerton - Seattle,Others,2,0,2,2,0,2,0,1929,3
EEUU,Others,Sin_Dato,Lockheed,2,0,2,1,0,1,0,1929,3
EEUU,Continental Air Lines,Sin_Dato,Travel Air 4000,1,0,1,1,0,1,0,1929,3
Russia,Others,Sin_Dato,Others,1,0,1,1,0,1,0,1929,3
EEUU,Colonial Air Transport,Sin_Dato,Fairchild FC-2,1,0,1,1,0,1,0,1929,3
EEUU,Varney Air Lines,"Boise, ID - Pasco, WA",Stearman C-38,1,0,1,1,0,1,0,1929,3
Others,Others,Brindisi - Athens - Istanbul,Others,9,7,2,2,7,2,0,1929,3
Germany,Deutsche Lufthansa,Frankfurt - Berlin,Fokker,5,4,1,4,3,1,0,1929,3
EEUU,Others,Sin_Dato,Travel Air 4000,1,0,1,1,0,1,0,1929,3
EEUU,Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,15,13,2,14,13,1,0,1929,3
EEUU,Others,Los Angeles - Phoenix - El Paso,Fokker,4,3,1,4,3,1,0,1929,3
EEUU,Others,San Diego - Phoenix,Others,6,3,3,6,3,3,0,1929,3
Mexico,Mexicana,"Tampico - Brownsville, TX",Ford Tri-motor 4,5,4,1,5,4,1,0,1929,3
Others,Aeropostale,Agadir - Casablanca,Latecoere 26,2,0,2,2,0,2,0,1929,3
Others,Aeropostale,Algiers - Marseille,Others,6,3,3,4,3,2,0,1929,3
Others,Pan American Airways,Santiago de Cuba - Havana,Fokker,5,1,4,2,1,1,0,1929,3
Others,Aeropostale,Janeiro - Buenos Aires,Breguet 14,2,0,2,1,0,1,0,1929,3
England,Imperial Airways,London - Paris - Basil - Zuric,Handley Page W-10,13,11,2,7,7,0,0,1929,3
Others,Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,8,6,2,1,0,1,0,1929,3
Germany,Others,Sin_Dato,Others,5,4,1,5,4,1,0,1929,3
Mexico,Others,Sin_Dato,Lockheed,4,2,2,4,2,2,0,1929,3
Others,Others,Sin_Dato,Fokker,2,0,2,2,0,2,0,1929,3
Canada,Western Canada Airways,Calgary - Moosejaw,Boeing,3,2,1,3,2,1,0,1930,3
France,Others,"Cardington, England - Karachi, Pakistan",Others,54,Sin_Dato,Sin_Dato,48,Sin_Dato,Sin_Dato,0,1930,3
Germany,Deutsche Lufthansa,Berlin - Vienna,Others,8,6,2,8,6,2,0,1930,3
Others,Aeropostale,Casablanca - Bahat - Toulouse,Latecoere 28,4,3,1,4,3,1,0,1930,3
Others,Others,Sin_Dato,Havilland,3,2,1,3,2,1,Sin_Dato,1930,3
EEUU,Pacific Air Transport,"Burbank, CA - Oakland, CA",Boeing,3,0,3,3,0,3,Sin_Dato,1930,3
EEUU,Others,Sin_Dato,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1930,3
Brazil,Syndicato Condor,Porto Alegre - Laguna - Rio de Janeiro,Junkers,9,8,1,1,1,0,0,1930,3
China,China National Aviation Corporation,Shanghai - Hankow,Others,6,4,2,4,2,2,0,1930,3
England,Sabena,Croydon - Brussels,Others,2,0,2,2,0,2,0,1930,3
Canada,Others,Sin_Dato,Lockheed,3,2,1,3,2,1,0,1930,3
Others,Ceskoslovenske Aerolinie,Prague - Bratislava,Ford 5-AT-C Tri Motor,11,10,1,10,9,1,0,1930,3
France,Imperial Airways,"Paris, France - London, England",Others,6,3,3,3,2,1,0,1930,3
EEUU,Others,Port Aransas - Kansas City,Lockheed,5,4,1,5,4,1,0,1930,3
Others,Boeing Air Transport,Sin_Dato,Boeing,1,0,1,1,0,1,0,1930,3
Others,Air Orient,Antananarivo - Paris,Others,3,0,3,3,0,3,0,1930,3
EEUU,Others,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,16,14,2,16,14,2,0,1930,3
Others,Aeropostale,Casablanca - Alicante,Latecoere 25,2,0,2,2,0,2,0,1930,3
EEUU,Others,"Wichita - Kansas City, KS",Others,5,4,1,5,4,1,0,1930,3
England,Others,"London - Le touquet, France",Junkers,6,4,2,6,4,2,0,1930,3
England,Air Union,Paris - Croydon,Others,6,3,3,2,2,0,0,1930,3
EEUU,Others,"Albany, NY - Jersey City, NJ",Fairchild 71,4,3,1,4,3,1,0,1930,3
Others,Aeropostale,Buenos Aires - Montevideo,Latecoere 28,4,2,2,3,1,2,0,1930,3
EEUU,Colonial Air Transport,Boston - Newark,Others,15,13,2,1,1,0,0,1930,3
Others,Deutsche Lufthansa,Stettin - Norway,Dornier Wal,8,5,3,5,4,1,0,1930,3
EEUU,Colonial Air Transport,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1930,3
EEUU,American Airways,Cincinnati - Atlanta,Ford 5-AT-C Tri Motor,6,4,2,6,4,2,0,1931,3
EEUU,Others,Sin_Dato,Lockheed,1,0,1,1,0,1,0,1931,3
Others,CIDNA,Paris - Bucharest,Fokker,6,4,2,6,4,2,0,1931,3
EEUU,Pacific Air Transport,"Oakland, CA - Seattle, WA",Boeing,4,3,1,4,3,1,0,1931,3
Canada,Deutsche Lufthansa,Sydney - New York,Others,3,0,3,3,0,3,0,1931,3
Brazil,Syndicato Condor,Sin_Dato,Dornier Wal,3,0,3,3,0,3,0,1931,3
EEUU,Others,"Newark, NJ  - Camden, NJ - Washington DC",Lockheed,5,4,1,5,4,1,0,1931,3
China,China National Aviation Corporation,Nanking - Peiking,Stinson,3,1,2,3,1,2,0,1931,3
EEUU,Boeing Air Transport,Sin_Dato,Boeing,1,0,1,1,0,1,0,1931,3
EEUU,Varney Air Lines,"Portland,  OR - Pasco, WA",Boeing,1,0,1,1,0,1,0,1931,3
EEUU,Braniff Airways,Kansas City - Chicago,Lockheed,6,5,1,2,2,0,0,1931,3
Others,CIDNA,Constantinople - Budapest,Fokker,7,5,2,7,5,2,0,1931,3
Others,Aeropostale,Marseille - Algiers,Others,2,0,2,2,0,2,0,1931,3
EEUU,American Airways,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,5,4,1,4,4,0,0,1931,3
Others,Union Airways,Durban - Cape Town,Havilland,3,2,1,3,2,1,0,1931,3
EEUU,American Airways,Sin_Dato,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1931,3
Others,KLM Royal Dutch Airlines,Djakarta - Amsterdam -  Bangkok - Rangoon (Burma),Fokker,7,3,4,5,2,3,0,1931,3
EEUU,Braniff Airlines,Chicago - Detroit,Lockheed,2,0,2,2,0,2,0,1931,3
Others,Others,Sin_Dato,Others,2,0,2,2,0,2,0,1931,3
EEUU,Varney Air Lines,Portland - Pasco,Boeing,1,0,1,1,0,1,0,1931,3
Others,Others,Gisborne - Hastings,Others,3,2,1,3,2,1,0,1931,3
Canada,Western Canada Airways,Winnigeg - Moosejaw,Fokker,3,2,1,2,2,0,0,1931,3
Others,Aeropostale,Algiers – Marseille,Latecoere 32,3,0,3,1,0,1,0,1931,3
